tag,freq_hz,dt,pos_iters,vel_iters,n_ok,n_total,mean_wall_time_sec,std_wall_time_sec,movement_csv
grid,240,0.004166666666666667,4,1,5,5,0.523043,0.025705,movement_freq240hz_pos4_vel1.csv
grid,240,0.004166666666666667,4,4,5,5,0.641895,0.046054,movement_freq240hz_pos4_vel4.csv
grid,240,0.004166666666666667,4,8,5,5,0.670819,0.058007,movement_freq240hz_pos4_vel8.csv
grid,240,0.004166666666666667,8,1,5,5,0.708635,0.086017,movement_freq240hz_pos8_vel1.csv
grid,240,0.004166666666666667,8,4,5,5,0.835208,0.022464,movement_freq240hz_pos8_vel4.csv
grid,240,0.004166666666666667,8,8,5,5,0.989855,0.049647,movement_freq240hz_pos8_vel8.csv
grid,240,0.004166666666666667,16,1,5,5,1.076216,0.084831,movement_freq240hz_pos16_vel1.csv
grid,240,0.004166666666666667,16,4,5,5,1.160819,0.132592,movement_freq240hz_pos16_vel4.csv
grid,240,0.004166666666666667,16,8,5,5,1.392939,0.074483,movement_freq240hz_pos16_vel8.csv
grid,240,0.004166666666666667,32,1,5,5,1.847058,0.115480,movement_freq240hz_pos32_vel1.csv
grid,240,0.004166666666666667,32,4,5,5,1.977507,0.033123,movement_freq240hz_pos32_vel4.csv
grid,240,0.004166666666666667,32,8,5,5,1.989002,0.089378,movement_freq240hz_pos32_vel8.csv
grid,360,0.002777777777777778,4,1,5,5,0.795138,0.013434,movement_freq360hz_pos4_vel1.csv
grid,360,0.002777777777777778,4,4,5,5,0.955317,0.047874,movement_freq360hz_pos4_vel4.csv
grid,360,0.002777777777777778,4,8,5,5,1.159563,0.093424,movement_freq360hz_pos4_vel8.csv
grid,360,0.002777777777777778,8,1,5,5,1.057183,0.042599,movement_freq360hz_pos8_vel1.csv
grid,360,0.002777777777777778,8,4,5,5,1.262082,0.132932,movement_freq360hz_pos8_vel4.csv
grid,360,0.002777777777777778,8,8,5,5,1.496256,0.120363,movement_freq360hz_pos8_vel8.csv
grid,360,0.002777777777777778,16,1,5,5,1.684113,0.114753,movement_freq360hz_pos16_vel1.csv
grid,360,0.002777777777777778,16,4,5,5,1.838705,0.114250,movement_freq360hz_pos16_vel4.csv
grid,360,0.002777777777777778,16,8,5,5,1.943050,0.183981,movement_freq360hz_pos16_vel8.csv
grid,360,0.002777777777777778,32,1,5,5,2.751970,0.075342,movement_freq360hz_pos32_vel1.csv
grid,360,0.002777777777777778,32,4,5,5,2.904199,0.129673,movement_freq360hz_pos32_vel4.csv
grid,360,0.002777777777777778,32,8,5,5,3.022440,0.070294,movement_freq360hz_pos32_vel8.csv
grid,480,0.0020833333333333333,4,1,5,5,1.072067,0.048440,movement_freq480hz_pos4_vel1.csv
grid,480,0.0020833333333333333,4,4,5,5,1.284235,0.032458,movement_freq480hz_pos4_vel4.csv
grid,480,0.0020833333333333333,4,8,5,5,1.548214,0.122810,movement_freq480hz_pos4_vel8.csv
grid,480,0.0020833333333333333,8,1,5,5,1.508560,0.090972,movement_freq480hz_pos8_vel1.csv
grid,480,0.0020833333333333333,8,4,5,5,1.724006,0.138027,movement_freq480hz_pos8_vel4.csv
grid,480,0.0020833333333333333,8,8,5,5,2.016581,0.170843,movement_freq480hz_pos8_vel8.csv
grid,480,0.0020833333333333333,16,1,5,5,2.173082,0.239166,movement_freq480hz_pos16_vel1.csv
grid,480,0.0020833333333333333,16,4,5,5,2.496078,0.166031,movement_freq480hz_pos16_vel4.csv
current_production,480,0.0020833333333333333,16,8,5,5,2.727575,0.166479,movement_freq480hz_pos16_vel8.csv
grid,480,0.0020833333333333333,32,1,5,5,3.616264,0.232655,movement_freq480hz_pos32_vel1.csv
grid,480,0.0020833333333333333,32,4,5,5,3.811061,0.136471,movement_freq480hz_pos32_vel4.csv
grid,480,0.0020833333333333333,32,8,5,5,4.046848,0.127421,movement_freq480hz_pos32_vel8.csv
grid,960,0.0010416666666666667,4,1,5,5,2.295912,0.032894,movement_freq960hz_pos4_vel1.csv
grid,960,0.0010416666666666667,4,4,5,5,2.546691,0.126032,movement_freq960hz_pos4_vel4.csv
grid,960,0.0010416666666666667,4,8,5,5,3.195638,0.355771,movement_freq960hz_pos4_vel8.csv
grid,960,0.0010416666666666667,8,1,5,5,3.004174,0.096442,movement_freq960hz_pos8_vel1.csv
grid,960,0.0010416666666666667,8,4,5,5,3.328819,0.063298,movement_freq960hz_pos8_vel4.csv
grid,960,0.0010416666666666667,8,8,5,5,3.889002,0.211822,movement_freq960hz_pos8_vel8.csv
grid,960,0.0010416666666666667,16,1,5,5,4.589395,0.177990,movement_freq960hz_pos16_vel1.csv
grid,960,0.0010416666666666667,16,4,5,5,5.095533,0.360118,movement_freq960hz_pos16_vel4.csv
grid,960,0.0010416666666666667,16,8,5,5,5.635384,0.146507,movement_freq960hz_pos16_vel8.csv
grid,960,0.0010416666666666667,32,1,5,5,7.345079,0.194817,movement_freq960hz_pos32_vel1.csv
grid,960,0.0010416666666666667,32,4,5,5,7.420228,0.125783,movement_freq960hz_pos32_vel4.csv
grid,960,0.0010416666666666667,32,8,5,5,7.933983,0.210052,movement_freq960hz_pos32_vel8.csv
grid,1200,0.0008333333333333334,4,1,5,5,2.782953,0.136726,movement_freq1200hz_pos4_vel1.csv
grid,1200,0.0008333333333333334,4,4,5,5,3.260009,0.111707,movement_freq1200hz_pos4_vel4.csv
