Frequency,PositionIterations,VelocityIterations,WallTime,RMSE_Pistoning (suspension_slide),RMSE_Angle_X,RMSE_Angle_Y,RMSE_Angle_Z,RMSE_Global
240,4,1,0.523043,0.0003888077298379467,0.003716630227266829,0.0010262620917347368,0.002265653532973931,16.6736522512856
240,4,4,0.641895,0.0003941252735116672,0.003725796668628019,0.0009312745175201093,0.002250225884854898,16.32134221958323
240,4,8,0.670819,0.0004039278673325967,0.0037550119181041742,0.0008957855615653528,0.0022633898291731015,16.319252496996384
240,8,1,0.708635,0.00020155437744303064,0.00244108964115015,0.0006238774575567231,0.0015266077840219913,10.89900978981515
240,8,4,0.835208,0.00018386337746371673,0.0024530269581454836,0.0006078912264490493,0.0015496549155301533,10.951055204833418
240,8,8,0.989855,0.00016456635408256963,0.0024760426087160154,0.0005891320042588608,0.0015623429329665664,10.945298823659066
240,16,1,1.076216,0.0003243215197159994,0.0017050171526502057,0.0002804930211445362,0.0009444824868112899,7.128626074355349
240,16,4,1.160819,0.00030960023588878327,0.0017216183009552816,0.0002925721802582462,0.0009529583872332334,7.140700940445383
240,16,8,1.392939,0.00029108233365453506,0.0017389818980872082,0.00030223219346038166,0.0009636932603583745,7.149305103997288
240,32,1,1.847058,0.0003678217146886826,0.0012321471165533842,0.00018451195122126817,0.0005836838558427877,5.364951161206763
240,32,4,1.977507,0.0003589708957249295,0.001238541859388976,0.00018993965429201247,0.0005880181643587295,5.339257831324555
240,32,8,1.989002,0.0003483624420184994,0.0012483868328387092,0.0001896399077970143,0.0005915122645961247,5.291419773792285
360,4,1,0.795138,0.0007126104562893776,0.003895460290969034,0.0006628846814439668,0.0022184501787496525,18.19949578507108
360,4,4,0.955317,0.0007259372704455906,0.0038926156809337286,0.0006007175590073782,0.002279079766605368,18.437498740566998
360,4,8,1.159563,0.0008091188675789281,0.004012038767040442,0.000395231078705516,0.002367463367344353,18.702921783088033
360,8,1,1.057183,0.00023454527968104152,0.0023718116818467567,0.00030566963591306185,0.0013952615688048876,11.01747028091661
360,8,4,1.262082,0.00022019505983866022,0.0023844702020942685,0.00031812130101214364,0.0013944011031036918,11.038148406587663
360,8,8,1.496256,0.0002263454496720443,0.002424041464547487,0.00030301718776517167,0.0014095504784260766,11.12376714220821
360,16,1,1.684113,0.00019050046092127532,0.0016793694788861278,0.0003175114309438107,0.0008228471665477059,7.021642868882714
360,16,4,1.838705,0.00017757318219917444,0.0017051776332418006,0.0003036762449258076,0.0008320210779616709,7.035397939227647
360,16,8,1.94305,0.0001671446225051414,0.0017213170927903466,0.0002624405618680426,0.0008447541040788006,6.988261558877949
360,32,1,2.75197,0.00021483857168211,0.0011872421641446504,0.0002833002919827171,0.000515210118114249,4.859131763847804
360,32,4,2.904199,0.0002068820576612143,0.0011907686133477645,0.00027416439881255224,0.0005188800990852404,4.833913015712476
360,32,8,3.02244,0.00019466696305108348,0.0011998787559866142,0.00027346551121821075,0.0005222180249790673,4.844191979321801
480,4,1,1.072067,0.00015800994033985624,0.0027737436494615943,0.00034018627132969957,0.0016805559605004015,11.709217040459595
480,4,4,1.284235,0.00016662112389319414,0.002766198253786479,0.00028579301505773973,0.0017064524011121051,11.797609279582382
480,4,8,1.548214,0.00016617005185587633,0.002737656193144351,0.00023951768812583855,0.0017143733477944173,11.781084522472618
480,8,1,1.50856,9.709640852190258e-05,0.001920128826822073,0.00031995652559495735,0.0010288806160876044,7.456185062594279
480,8,4,1.724006,8.752700123211333e-05,0.0019340674293385342,0.00029912401581733985,0.0010452754287956746,7.497295577228016
480,8,8,2.016581,7.94745616191407e-05,0.001944968461367904,0.0002619327622311462,0.0010510136082333803,7.4497427862666115
480,16,1,2.173082,0.0001331191151128526,0.0013833872394331608,0.0002767995635417372,0.0006264825596381303,4.9858179384330485
480,16,4,2.496078,0.00012460304038599897,0.0013944791842858226,0.0002565896000446328,0.000629319158472481,4.923002609381546
480,16,8,2.727575,0.00011131339575399014,0.0013961402951186825,0.00027381756581227034,0.0006322793739517862,4.956762160086914
480,32,1,3.616264,0.00015926290503691119,0.0010522509610605539,0.00018131880549924603,0.00040805395328229573,3.5747840802865083
480,32,4,3.811061,0.00015202211500149073,0.0010428892807936858,0.00019574235501959271,0.00040125196569674396,3.5475227243207796
480,32,8,4.046848,0.00014456536706546806,0.0010436354650069097,0.00019910352108748006,0.00040296705465217754,3.5338564092127798
960,4,1,2.295912,0.00036493121710546157,0.00224733972403969,0.0003307213645668524,0.0012751687599834992,2.186638948548896
960,4,4,2.546691,0.000414464544557408,0.0023109377319980354,0.0003001280618502153,0.0013435635962209317,2.2996169815813525
960,4,8,3.195638,0.00019179945287132116,0.0021681508255986482,0.0008360663571549755,0.0012919025877681809,2.226111651023905
960,8,1,3.004174,0.0002261430031760209,0.0015118529386917207,0.00025642193016404605,0.0007164891482329849,1.251726680762961
960,8,4,3.328819,0.0002111849013340714,0.0014843066279205132,0.00015028570733155065,0.0007343783690610561,1.2734397491715108
960,8,8,3.889002,0.00026234640589449976,0.0015279366359626824,0.0005211533631708618,0.000770776622741566,1.3517649295392522
960,16,1,4.589395,0.0001389016873540118,0.0010983446903372308,0.00016424917772982448,0.00042701159512288975,0.7654284264192829
960,16,4,5.095533,0.00012671825637753696,0.0010714090130514375,0.00011446418483627936,0.00042435836331884723,0.756620489945522
960,16,8,5.635384,0.00011381541721625569,0.0010629468091907725,0.0001621508486066726,0.0004280804461547513,0.7624827941732846
960,32,1,7.345079,9.824834896498699e-05,0.0008227422013653414,0.00015009217392999402,0.0002720919997660753,0.5037952567620386
960,32,4,7.420228,9.699280768623136e-05,0.0007971778774379325,0.00014093475081387028,0.00026643705886824856,0.49205130397261393
960,32,8,7.933983,7.820020248647945e-05,0.0007717413050228866,0.0001221084492824706,0.000263878729933653,0.483769244928778
1200,4,1,2.782953,0.0002874544433589182,0.002135551773066166,0.0002451251974497595,0.001127930373917234,2.2922311075482176
